subject,run,layer,modality,data,volume,focus
sub-05,sub-05_ses-001_task-eventStim_run-002,superficial,VASO,-4.18656587600708,1,v1
sub-05,sub-05_ses-001_task-eventStim_run-002,deep,VASO,1.1847752332687378,2,v1
sub-05,sub-05_ses-001_task-eventStim_run-002,middle,VASO,-0.04990296810865402,2,v1
sub-05,sub-05_ses-001_task-eventStim_run-002,superficial,VASO,-2.3079168796539307,2,v1
sub-05,sub-05_ses-001_task-eventStim_run-002,deep,VASO,2.370464324951172,3,v1
sub-05,sub-05_ses-001_task-eventStim_run-002,middle,VASO,3.5568201541900635,3,v1
sub-05,sub-05_ses-001_task-eventStim_run-002,superficial,VASO,4.539872169494629,3,v1
sub-05,sub-05_ses-001_task-eventStim_run-002,deep,VASO,2.953364133834839,4,v1
sub-05,sub-05_ses-001_task-eventStim_run-002,middle,VASO,5.844573497772217,4,v1
sub-05,sub-05_ses-001_task-eventStim_run-002,superficial,VASO,10.252936363220215,4,v1
sub-05,sub-05_ses-001_task-eventStim_run-002,deep,VASO,2.2071776390075684,5,v1
sub-05,sub-05_ses-001_task-eventStim_run-002,middle,VASO,4.630040168762207,5,v1
sub-05,sub-05_ses-001_task-eventStim_run-002,superficial,VASO,10.191305160522461,5,v1
sub-05,sub-05_ses-001_task-eventStim_run-002,deep,VASO,1.3377883434295654,6,v1
sub-05,sub-05_ses-001_task-eventStim_run-002,middle,VASO,2.798604965209961,6,v1
sub-05,sub-05_ses-001_task-eventStim_run-002,superficial,VASO,7.340058326721191,6,v1
sub-05,sub-05_ses-001_task-eventStim_run-002,deep,VASO,0.46385055780410767,7,v1
sub-05,sub-05_ses-001_task-eventStim_run-002,middle,VASO,1.2185205221176147,7,v1
sub-05,sub-05_ses-001_task-eventStim_run-002,superficial,VASO,3.801340103149414,7,v1
sub-05,sub-05_ses-001_task-eventStim_run-002,deep,VASO,0.1953938603401184,8,v1
sub-05,sub-05_ses-001_task-eventStim_run-002,middle,VASO,0.08414135873317719,8,v1
sub-05,sub-05_ses-001_task-eventStim_run-002,superficial,VASO,0.6225233674049377,8,v1
sub-05,sub-05_ses-001_task-eventStim_run-002,deep,VASO,-0.19784103333950043,9,v1
sub-05,sub-05_ses-001_task-eventStim_run-002,middle,VASO,-0.6502279043197632,9,v1
sub-05,sub-05_ses-001_task-eventStim_run-002,superficial,VASO,-0.942779541015625,9,v1
sub-05,sub-05_ses-001_task-eventStim_run-002,deep,VASO,-0.1174178197979927,10,v1
sub-05,sub-05_ses-001_task-eventStim_run-002,middle,VASO,-0.09318402409553528,10,v1
sub-05,sub-05_ses-001_task-eventStim_run-002,superficial,VASO,0.020157592371106148,10,v1
sub-05,sub-05_ses-001_task-eventStim_run-001,deep,BOLD,0.7088431715965271,1,s1
sub-05,sub-05_ses-001_task-eventStim_run-001,middle,BOLD,0.5489574074745178,1,s1
sub-05,sub-05_ses-001_task-eventStim_run-001,superficial,BOLD,0.9409461617469788,1,s1
sub-05,sub-05_ses-001_task-eventStim_run-001,deep,BOLD,2.276648759841919,2,s1
sub-05,sub-05_ses-001_task-eventStim_run-001,middle,BOLD,2.0295920372009277,2,s1
sub-05,sub-05_ses-001_task-eventStim_run-001,superficial,BOLD,2.892359495162964,2,s1
sub-05,sub-05_ses-001_task-eventStim_run-001,deep,BOLD,3.6081435680389404,3,s1
sub-05,sub-05_ses-001_task-eventStim_run-001,middle,BOLD,3.155766487121582,3,s1
sub-05,sub-05_ses-001_task-eventStim_run-001,superficial,BOLD,3.9875590801239014,3,s1
sub-05,sub-05_ses-001_task-eventStim_run-001,deep,BOLD,3.487414836883545,4,s1
sub-05,sub-05_ses-001_task-eventStim_run-001,middle,BOLD,2.8806705474853516,4,s1
sub-05,sub-05_ses-001_task-eventStim_run-001,superficial,BOLD,3.782949447631836,4,s1
sub-05,sub-05_ses-001_task-eventStim_run-001,deep,BOLD,2.9957709312438965,5,s1
sub-05,sub-05_ses-001_task-eventStim_run-001,middle,BOLD,2.0992445945739746,5,s1
sub-05,sub-05_ses-001_task-eventStim_run-001,superficial,BOLD,3.220561981201172,5,s1
sub-05,sub-05_ses-001_task-eventStim_run-001,deep,BOLD,3.0880329608917236,6,s1
sub-05,sub-05_ses-001_task-eventStim_run-001,middle,BOLD,1.6437177658081055,6,s1
sub-05,sub-05_ses-001_task-eventStim_run-001,superficial,BOLD,1.9448494911193848,6,s1
sub-05,sub-05_ses-001_task-eventStim_run-001,deep,BOLD,3.2464725971221924,7,s1
sub-05,sub-05_ses-001_task-eventStim_run-001,middle,BOLD,1.3273131847381592,7,s1
sub-05,sub-05_ses-001_task-eventStim_run-001,superficial,BOLD,0.43875011801719666,7,s1
sub-05,sub-05_ses-001_task-eventStim_run-001,deep,BOLD,3.0711722373962402,8,s1
sub-05,sub-05_ses-001_task-eventStim_run-001,middle,BOLD,0.9945695996284485,8,s1
sub-05,sub-05_ses-001_task-eventStim_run-001,superficial,BOLD,0.5194711685180664,8,s1
sub-05,sub-05_ses-001_task-eventStim_run-001,deep,BOLD,2.3991615772247314,9,s1
sub-05,sub-05_ses-001_task-eventStim_run-001,middle,BOLD,0.8146523833274841,9,s1
sub-05,sub-05_ses-001_task-eventStim_run-001,superficial,BOLD,1.3153740167617798,9,s1
sub-05,sub-05_ses-001_task-eventStim_run-001,deep,BOLD,1.1862486600875854,10,s1
sub-05,sub-05_ses-001_task-eventStim_run-001,middle,BOLD,0.4242101311683655,10,s1
sub-05,sub-05_ses-001_task-eventStim_run-001,superficial,BOLD,0.9940675497055054,10,s1
sub-05,sub-05_ses-001_task-eventStim_run-001,deep,VASO,0.8258354067802429,1,s1
sub-05,sub-05_ses-001_task-eventStim_run-001,middle,VASO,0.6243321299552917,1,s1
sub-05,sub-05_ses-001_task-eventStim_run-001,superficial,VASO,-0.7719845175743103,1,s1
sub-05,sub-05_ses-001_task-eventStim_run-001,deep,VASO,3.0450119972229004,2,s1
sub-05,sub-05_ses-001_task-eventStim_run-001,middle,VASO,2.9457926750183105,2,s1
sub-05,sub-05_ses-001_task-eventStim_run-001,superficial,VASO,-0.10048571974039078,2,s1
sub-05,sub-05_ses-001_task-eventStim_run-001,deep,VASO,5.194667339324951,3,s1
sub-05,sub-05_ses-001_task-eventStim_run-001,middle,VASO,5.91165018081665,3,s1
sub-05,sub-05_ses-001_task-eventStim_run-001,superficial,VASO,1.5627144575119019,3,s1
sub-05,sub-05_ses-001_task-eventStim_run-001,deep,VASO,6.352229595184326,4,s1
sub-05,sub-05_ses-001_task-eventStim_run-001,middle,VASO,6.2736992835998535,4,s1
sub-05,sub-05_ses-001_task-eventStim_run-001,superficial,VASO,2.8799684047698975,4,s1
sub-05,sub-05_ses-001_task-eventStim_run-001,deep,VASO,6.263685703277588,5,s1
sub-05,sub-05_ses-001_task-eventStim_run-001,middle,VASO,4.705450534820557,5,s1
sub-05,sub-05_ses-001_task-eventStim_run-001,superficial,VASO,2.608821392059326,5,s1
sub-05,sub-05_ses-001_task-eventStim_run-001,deep,VASO,5.282572269439697,6,s1
sub-05,sub-05_ses-001_task-eventStim_run-001,middle,VASO,3.7151529788970947,6,s1
sub-05,sub-05_ses-001_task-eventStim_run-001,superficial,VASO,1.5781803131103516,6,s1
sub-05,sub-05_ses-001_task-eventStim_run-001,deep,VASO,4.712848663330078,7,s1
sub-05,sub-05_ses-001_task-eventStim_run-001,middle,VASO,4.4125895500183105,7,s1
sub-05,sub-05_ses-001_task-eventStim_run-001,superficial,VASO,1.5107600688934326,7,s1
sub-05,sub-05_ses-001_task-eventStim_run-001,deep,VASO,4.413633823394775,8,s1
