subject,data,modality,layer,contrast,focus,runType,session,design,statType
sub-05,0.03143411667014544,BOLD,5,visuotactile,s1,eventStim,ses-001,eventStim,zstat
sub-05,-0.11979251751240264,BOLD,6,visuotactile,s1,eventStim,ses-001,eventStim,zstat
sub-05,0.03927642008605993,BOLD,7,visuotactile,s1,eventStim,ses-001,eventStim,zstat
sub-05,0.09326957859272181,BOLD,8,visuotactile,s1,eventStim,ses-001,eventStim,zstat
sub-05,0.7451266274948983,BOLD,9,visuotactile,s1,eventStim,ses-001,eventStim,zstat
sub-05,1.990713969719681,BOLD,10,visuotactile,s1,eventStim,ses-001,eventStim,zstat
sub-05,3.130088244165693,BOLD,11,visuotactile,s1,eventStim,ses-001,eventStim,zstat
sub-05,117.7568899790446,BOLD,1,visuotactile,s1,blockStim,ses-001,blockStim,cope
sub-05,151.1995195865631,BOLD,2,visuotactile,s1,blockStim,ses-001,blockStim,cope
sub-05,150.60265273707253,BOLD,3,visuotactile,s1,blockStim,ses-001,blockStim,cope
sub-05,150.10911525212802,BOLD,4,visuotactile,s1,blockStim,ses-001,blockStim,cope
sub-05,134.9207351970343,BOLD,5,visuotactile,s1,blockStim,ses-001,blockStim,cope
sub-05,150.2962243988159,BOLD,6,visuotactile,s1,blockStim,ses-001,blockStim,cope
sub-05,175.34817573259463,BOLD,7,visuotactile,s1,blockStim,ses-001,blockStim,cope
sub-05,236.18384121739587,BOLD,8,visuotactile,s1,blockStim,ses-001,blockStim,cope
sub-05,312.27057931937424,BOLD,9,visuotactile,s1,blockStim,ses-001,blockStim,cope
sub-05,455.26683408563787,BOLD,10,visuotactile,s1,blockStim,ses-001,blockStim,cope
sub-05,622.819276537214,BOLD,11,visuotactile,s1,blockStim,ses-001,blockStim,cope
sub-05,162.86408032689775,BOLD,1,visuotactile,s1,eventStim,ses-001,eventStim,cope
sub-05,124.23212042649587,BOLD,2,visuotactile,s1,eventStim,ses-001,eventStim,cope
sub-05,77.88370221853256,BOLD,3,visuotactile,s1,eventStim,ses-001,eventStim,cope
sub-05,26.89448787386601,BOLD,4,visuotactile,s1,eventStim,ses-001,eventStim,cope
sub-05,4.385626669113453,BOLD,5,visuotactile,s1,eventStim,ses-001,eventStim,cope
sub-05,-24.41555124648074,BOLD,6,visuotactile,s1,eventStim,ses-001,eventStim,cope
sub-05,2.087434086034883,BOLD,7,visuotactile,s1,eventStim,ses-001,eventStim,cope
sub-05,12.502615706865178,BOLD,8,visuotactile,s1,eventStim,ses-001,eventStim,cope
sub-05,161.05923329147637,BOLD,9,visuotactile,s1,eventStim,ses-001,eventStim,cope
sub-05,504.39831751043147,BOLD,10,visuotactile,s1,eventStim,ses-001,eventStim,cope
sub-05,846.6657676696777,BOLD,11,visuotactile,s1,eventStim,ses-001,eventStim,cope
