subject,run,layer,modality,data,volume,focus,condition
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,deep,VASO,0.4021286368370056,4,v1,visual
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,middle,VASO,-0.9601180553436279,4,v1,visual
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,superficial,VASO,2.2955520153045654,4,v1,visual
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,deep,VASO,1.4770960807800293,5,v1,visual
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,middle,VASO,1.3317714929580688,5,v1,visual
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,superficial,VASO,3.542767286300659,5,v1,visual
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,deep,VASO,1.3153963088989258,6,v1,visual
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,middle,VASO,2.3747236728668213,6,v1,visual
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,superficial,VASO,4.410356044769287,6,v1,visual
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,deep,VASO,-0.19196490943431854,7,v1,visual
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,middle,VASO,1.1563785076141357,7,v1,visual
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,superficial,VASO,3.059147357940674,7,v1,visual
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,deep,VASO,-1.3937418460845947,8,v1,visual
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,middle,VASO,-0.7198508381843567,8,v1,visual
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,superficial,VASO,1.0615733861923218,8,v1,visual
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,deep,VASO,-1.049643874168396,9,v1,visual
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,middle,VASO,-0.9818740487098694,9,v1,visual
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,superficial,VASO,-0.039319634437561035,9,v1,visual
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,deep,VASO,-0.46623754501342773,10,v1,visual
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,middle,VASO,-0.2231277972459793,10,v1,visual
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,superficial,VASO,0.1474180370569229,10,v1,visual
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,deep,VASO,-0.7637958526611328,1,v1,visiotactile
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,middle,VASO,0.048006586730480194,1,v1,visiotactile
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,superficial,VASO,-0.36931464076042175,1,v1,visiotactile
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,deep,VASO,-0.8982675671577454,2,v1,visiotactile
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,middle,VASO,-0.6970733404159546,2,v1,visiotactile
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,superficial,VASO,-1.5564862489700317,2,v1,visiotactile
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,deep,VASO,-0.44407719373703003,3,v1,visiotactile
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,middle,VASO,-0.9888121485710144,3,v1,visiotactile
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,superficial,VASO,-1.6205546855926514,3,v1,visiotactile
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,deep,VASO,0.5250076055526733,4,v1,visiotactile
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,middle,VASO,0.16094522178173065,4,v1,visiotactile
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,superficial,VASO,1.0256065130233765,4,v1,visiotactile
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,deep,VASO,0.3249031603336334,5,v1,visiotactile
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,middle,VASO,1.3338985443115234,5,v1,visiotactile
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,superficial,VASO,4.094216346740723,5,v1,visiotactile
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,deep,VASO,-0.09711551666259766,6,v1,visiotactile
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,middle,VASO,1.6164631843566895,6,v1,visiotactile
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,superficial,VASO,4.899762153625488,6,v1,visiotactile
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,deep,VASO,-0.6013189554214478,7,v1,visiotactile
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,middle,VASO,0.8399980664253235,7,v1,visiotactile
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,superficial,VASO,2.7013964653015137,7,v1,visiotactile
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,deep,VASO,-1.479272723197937,8,v1,visiotactile
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,middle,VASO,-0.5473872423171997,8,v1,visiotactile
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,superficial,VASO,0.11746956408023834,8,v1,visiotactile
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,deep,VASO,-1.6378282308578491,9,v1,visiotactile
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,middle,VASO,-1.302139401435852,9,v1,visiotactile
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,superficial,VASO,-0.5730804800987244,9,v1,visiotactile
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,deep,VASO,-0.5534115433692932,10,v1,visiotactile
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,middle,VASO,-0.8286595344543457,10,v1,visiotactile
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,superficial,VASO,-0.3055383563041687,10,v1,visiotactile
sub-11,sub-11_ses-002_task-eventStimRandom_run-003,deep,BOLD,0.023443767800927162,1,v1,visual
sub-11,sub-11_ses-002_task-eventStimRandom_run-003,middle,BOLD,-0.17152467370033264,1,v1,visual
sub-11,sub-11_ses-002_task-eventStimRandom_run-003,superficial,BOLD,-0.27826806902885437,1,v1,visual
sub-11,sub-11_ses-002_task-eventStimRandom_run-003,deep,BOLD,0.40642091631889343,2,v1,visual
sub-11,sub-11_ses-002_task-eventStimRandom_run-003,middle,BOLD,0.650073766708374,2,v1,visual
sub-11,sub-11_ses-002_task-eventStimRandom_run-003,superficial,BOLD,0.9258889555931091,2,v1,visual
sub-11,sub-11_ses-002_task-eventStimRandom_run-003,deep,BOLD,1.308505654335022,3,v1,visual
sub-11,sub-11_ses-002_task-eventStimRandom_run-003,middle,BOLD,2.821385145187378,3,v1,visual
sub-11,sub-11_ses-002_task-eventStimRandom_run-003,superficial,BOLD,4.039017200469971,3,v1,visual
