subject,x,data,modality,trial,run,focus
sub-05,17,-1.4202861640464615,BOLD,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,18,-0.935328243493309,BOLD,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,19,0.5238440976392035,BOLD,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,20,1.7774661839683625,BOLD,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,21,1.6422563205425829,BOLD,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,22,-0.5429851715872914,BOLD,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,23,-2.5191593893449444,BOLD,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,24,-2.110012779498746,BOLD,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,25,-0.3808114914667797,BOLD,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,26,1.0513970329709825,BOLD,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,27,1.7387789687106956,BOLD,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,28,1.4835996599909513,BOLD,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,29,1.2053643340974496,BOLD,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,30,1.8802413113700367,BOLD,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,31,1.8071654603277798,BOLD,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,32,-0.37651291199371645,BOLD,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,33,-2.4124764624223136,BOLD,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,34,-1.9916064540131666,BOLD,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,0,-0.8024630597801069,BOLD,trial 3,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,1,0.047874115984300955,BOLD,trial 3,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,2,0.09828472980489364,BOLD,trial 3,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,3,-0.2104314323522103,BOLD,trial 3,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,4,-0.15142365958547743,BOLD,trial 3,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,5,-0.8446672946066601,BOLD,trial 3,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,6,-2.8900095638855823,BOLD,trial 3,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,7,-3.645777991242372,BOLD,trial 3,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,8,-0.8517013337444076,BOLD,trial 3,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,9,2.390599928809529,BOLD,trial 3,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,10,2.9548861796384847,BOLD,trial 3,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,11,1.416776288182261,BOLD,trial 3,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,12,-0.7731545633727883,BOLD,trial 3,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,13,-1.7782406001678706,BOLD,trial 3,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,14,-0.1342293416931906,BOLD,trial 3,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,15,1.5191606356318375,BOLD,trial 3,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,16,0.6887532374243939,BOLD,trial 3,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,17,-0.6066823037792106,BOLD,trial 3,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,18,-0.010742876830342172,BOLD,trial 3,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,19,1.426155007032603,BOLD,trial 3,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,20,2.273365943180237,BOLD,trial 3,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,21,1.6625768780516683,BOLD,trial 3,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,22,-0.8970318081877485,BOLD,trial 3,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,23,-2.805601094232514,BOLD,trial 3,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,24,-1.7082909887423874,BOLD,trial 3,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,25,0.06428687397240009,BOLD,trial 3,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,26,-0.15181443953758259,BOLD,trial 3,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,27,-0.8579538129779805,BOLD,trial 3,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,28,-0.45779514203001653,BOLD,trial 3,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,29,0.623102205471995,BOLD,trial 3,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,30,1.6152925038478478,BOLD,trial 3,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,31,1.1318977031030928,BOLD,trial 3,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,32,-1.666477533867954,BOLD,trial 3,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,33,-3.8247552093030768,BOLD,trial 3,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,34,-2.706342986399719,BOLD,trial 3,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,0,-4.136988391029109,BOLD,trial 4,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,1,-3.840386407386996,BOLD,trial 4,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,2,-3.659455289565784,BOLD,trial 4,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,3,-2.7524550207472074,BOLD,trial 4,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,4,-0.5390773720663167,BOLD,trial 4,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,5,0.30422576456034284,BOLD,trial 4,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,6,-2.362847408505926,BOLD,trial 4,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,7,-4.274542934167463,BOLD,trial 4,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,8,-1.398793266681089,BOLD,trial 4,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,9,1.98145331896332,BOLD,trial 4,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,10,1.3515160361819616,BOLD,trial 4,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,11,-0.2514633273224689,BOLD,trial 4,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,12,0.6449858827894648,BOLD,trial 4,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,13,1.3784798528766968,BOLD,trial 4,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,14,-0.7243070693605927,BOLD,trial 4,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,15,-2.3042304156912756,BOLD,trial 4,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,16,-0.2803810437776922,BOLD,trial 4,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,17,1.8122455997050555,BOLD,trial 4,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,18,0.43005690913577044,BOLD,trial 4,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,19,-1.349554992716774,BOLD,trial 4,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,20,-0.25029098746617845,BOLD,trial 4,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,21,0.7966085042033447,BOLD,trial 4,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,22,-1.108834542224647,BOLD,trial 4,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,23,-3.0639066425690378,BOLD,trial 4,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,24,-2.1737099116906733,BOLD,trial 4,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,25,-0.35189377501156555,BOLD,trial 4,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,26,0.1627634219009977,BOLD,trial 4,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,27,0.05060957564899462,BOLD,trial 4,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,28,0.2049676567275362,BOLD,trial 4,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,29,-0.00019181812370334259,BOLD,trial 4,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,30,-1.0201274930984825,BOLD,trial 4,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,31,-1.9126689036894435,BOLD,trial 4,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,32,-1.9400235003362838,BOLD,trial 4,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,33,-1.5633116265141775,BOLD,trial 4,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,34,-1.498051374513878,BOLD,trial 4,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,0,-2.1877580292023575,VASO,trial 0,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,1,-5.501859789774861,VASO,trial 0,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,2,-4.598013855073285,VASO,trial 0,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,3,-2.509294258073786,VASO,trial 0,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,4,-1.8003954857588305,VASO,trial 0,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,5,-0.9446533963214521,VASO,trial 0,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,6,1.4478799602415457,VASO,trial 0,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,7,2.5846497772751813,VASO,trial 0,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,8,0.3870635830987947,VASO,trial 0,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,9,-1.6687428566146263,VASO,trial 0,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,10,0.45542167900058933,VASO,trial 0,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,11,2.769469814343011,VASO,trial 0,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,12,1.6478906852875432,VASO,trial 0,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,13,-0.5902040101639794,VASO,trial 0,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,14,-0.29145381325981423,VASO,trial 0,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,15,0.3136419245375966,VASO,trial 0,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,16,0.8731655984004592,VASO,trial 0,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,17,0.4655488043193689,VASO,trial 0,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,18,-0.5142505702731024,VASO,trial 0,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,19,-0.8003418605287737,VASO,trial 0,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,20,1.0073500088743763,VASO,trial 0,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,21,1.9263866315541334,VASO,trial 0,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,22,-0.3674072531507113,VASO,trial 0,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,23,-3.582769541865013,VASO,trial 0,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,24,-5.0917112143640155,VASO,trial 0,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,25,-3.787843829570426,VASO,trial 0,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,26,0.29338767390001963,VASO,trial 0,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,27,3.508749962614321,VASO,trial 0,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,28,3.5948305278240023,VASO,trial 0,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,29,1.956768007510494,VASO,trial 0,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,30,1.6605495919360285,VASO,trial 0,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,31,2.5188234627030814,VASO,trial 0,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,32,2.9644169767296265,VASO,trial 0,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,33,2.5568001826485123,VASO,trial 0,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,34,2.7036434997708954,VASO,trial 0,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,0,-1.6535521686364418,VASO,trial 1,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,1,-4.43344806864298,VASO,trial 1,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,2,-1.8814124883091048,VASO,trial 1,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,3,-0.19524612273135974,VASO,trial 1,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,4,-3.1270489025197112,VASO,trial 1,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,5,-6.686733452072674,VASO,trial 1,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,6,-4.780302110811417,VASO,trial 1,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,7,-1.466200350238915,VASO,trial 1,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,8,-0.8560410497820965,VASO,trial 1,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,9,-1.1218780894002114,VASO,trial 1,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,10,0.35415042581274064,VASO,trial 1,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,11,1.8225835970365925,VASO,trial 1,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,12,2.0023400714450226,VASO,trial 1,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,13,-0.235754624006515,VASO,trial 1,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,14,-4.033426618550983,VASO,trial 1,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,15,-5.749974360085077,VASO,trial 1,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,16,-0.7041341700003573,VASO,trial 1,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,17,3.6024258718130957,VASO,trial 1,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,18,1.7111852185299479,VASO,trial 1,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,19,-3.195406998421455,VASO,trial 1,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,20,-5.496796227115453,VASO,trial 1,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,21,-5.071456963726445,VASO,trial 1,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,22,-2.6662647005149513,VASO,trial 1,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,23,-0.5269094769215764,VASO,trial 1,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,24,-0.8712317377602732,VASO,trial 1,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,25,-2.205480498510241,VASO,trial 1,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,26,-1.2003633106208025,VASO,trial 1,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,27,0.2579427352842754,VASO,trial 1,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,28,1.817520034377209,VASO,trial 1,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,29,1.6858674052329905,VASO,trial 1,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,30,0.052868447578877084,VASO,trial 1,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,31,-1.8358404243745752,VASO,trial 1,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,32,-2.2080122798399158,VASO,trial 1,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,33,-2.815639798967032,VASO,trial 1,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,34,-5.094242995693765,VASO,trial 1,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,0,0.5870743081447972,VASO,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,1,-2.483976444776811,VASO,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,2,-1.9624294908593818,VASO,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,3,-1.0940284947735164,VASO,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,4,-2.1826944665429577,VASO,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,5,-3.5068161019741484,VASO,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,6,-2.0738278693660455,VASO,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,7,-0.2863902506004272,VASO,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,8,0.11869476215096915,VASO,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,9,0.5516293695290484,VASO,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,10,3.1340463258192797,VASO,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,11,4.078400761795998,VASO,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,12,0.8529113477629187,VASO,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,13,-2.119399933300542,VASO,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,14,0.5161844309133095,VASO,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,15,2.931503819443579,VASO,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,16,1.3744583016803178,VASO,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,17,-1.3117616891274504,VASO,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,18,-1.1370687773784092,VASO,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,19,0.9086105370162308,VASO,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,20,3.407478709426487,VASO,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,21,4.54931208911951,VASO,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,22,2.5137599000436834,VASO,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,23,-0.845913924463318,VASO,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,24,-3.1776845291136437,VASO,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,25,-3.3776952541596152,VASO,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,26,-0.9826301162669192,VASO,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,27,1.0554538541386027,VASO,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,28,1.5567465574184831,VASO,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,29,0.895951630367746,VASO,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,30,1.3668629576912708,VASO,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,31,1.1111530433919161,VASO,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,32,-2.375109847599897,VASO,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,33,-5.349952909993043,VASO,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,34,-3.9017739894067565,VASO,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
