subject,run,nrTrials,score,modality,currentAverage,focus
sub-05,sub-05_ses-001_task-eventStim_run-001,35,1.9867008617638626,BOLD,"[-0.52465614 -1.13804589 -0.83778949  0.60494195  1.95885325  1.85314371
  0.44787227 -0.88903004 -1.09622622 -0.37906341]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,36,2.0028208196790045,BOLD,"[-0.54551058 -1.13812665 -0.82418498  0.61133065  1.95951692  1.8646296
  0.46750022 -0.87659591 -1.10517768 -0.41338158]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,37,1.9804661465426143,BOLD,"[-0.5703174  -1.15221517 -0.83334413  0.59350957  1.9446784   1.8657401
  0.47017215 -0.87293389 -1.08116948 -0.36412016]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,38,1.9620159666465318,BOLD,"[-0.52093746 -1.12276836 -0.84669558  0.55640479  1.91481037  1.87847825
  0.51490096 -0.86909674 -1.12709637 -0.37799985]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,39,1.974322101075821,BOLD,"[-0.4332765  -1.09395761 -0.87879104  0.53794376  1.92582187  1.87488874
  0.49378677 -0.88391104 -1.14150518 -0.40099977]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,40,2.1044684107474776,BOLD,"[-0.47422474 -1.10803774 -0.865506    0.56849996  1.9565371   1.89326236
  0.49899667 -0.89700308 -1.1675124  -0.40501214]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,41,2.154953494980752,BOLD,"[-0.51593773 -1.15317484 -0.87703902  0.58003526  1.96548665  1.90008423
  0.50790437 -0.88365209 -1.14675703 -0.37694979]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,42,2.1517932589365483,BOLD,"[-0.49322003 -1.14418541 -0.87383686  0.57383294  1.95911953  1.89984193
  0.49331623 -0.90845589 -1.14824434 -0.35816809]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,43,2.1703050493959046,BOLD,"[-0.45341018 -1.1315767  -0.8508598   0.6008434   1.96630067  1.88665393
  0.46268902 -0.94530623 -1.17004348 -0.36529064]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,44,2.0529049212721615,BOLD,"[-0.48312489 -1.11357923 -0.8163767   0.61291226  1.94851589  1.86356097
  0.46002655 -0.92961644 -1.16158735 -0.38073106]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,45,2.0482892989001527,BOLD,"[-0.47496997 -1.09689633 -0.8015812   0.61210139  1.94281025  1.86479178
  0.45597465 -0.94263326 -1.1733428  -0.3862545 ]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,46,2.0414792530617416,BOLD,"[-0.52918797 -1.11452252 -0.79404187  0.61927823  1.94180891  1.86365912
  0.45767365 -0.9340525  -1.15211675 -0.3584983 ]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,47,1.9675306929097616,BOLD,"[-0.5209484  -1.11685132 -0.79572187  0.61066535  1.92262621  1.8430644
  0.43612837 -0.94322524 -1.125487   -0.31025049]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,48,2.0206553357373864,BOLD,"[-0.48218837 -1.09589876 -0.79833902  0.60926206  1.93159181  1.85426582
  0.44370269 -0.95616712 -1.16312683 -0.34310229]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,49,2.0865519718252123,BOLD,"[-0.52999163 -1.10984953 -0.77250814  0.64151361  1.9488906   1.85940155
  0.44669046 -0.95719121 -1.17406007 -0.35289564]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,50,2.1514854627052857,BOLD,"[-0.52818473 -1.11029564 -0.76218349  0.65522008  1.96072106  1.87504351
  0.46509059 -0.95107481 -1.20235871 -0.40197786]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,51,2.0590659875136534,BOLD,"[-0.53660291 -1.14529244 -0.80828081  0.62879428  1.95452444  1.86269422
  0.461216   -0.91116189 -1.13857939 -0.36731151]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,52,1.9464350171666676,BOLD,"[-0.50758704 -1.112253   -0.80052512  0.62462541  1.9434358   1.84021039
  0.44533687 -0.90250962 -1.13014099 -0.40059269]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,53,2.006055244304841,BOLD,"[-0.51529224 -1.12461163 -0.79539824  0.6404075   1.95583411  1.85448205
  0.4664914  -0.88833864 -1.14565529 -0.44791901]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,54,2.054677288973915,BOLD,"[-0.52140575 -1.13715421 -0.80484369  0.63320576  1.95812272  1.87720888
  0.50407425 -0.86038637 -1.15594355 -0.49287803]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,55,2.078193688080137,BOLD,"[-0.5888529  -1.17311722 -0.80121344  0.65619268  1.97508673  1.86995019
  0.4898681  -0.84824559 -1.12070817 -0.45896036]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,56,1.8590528219825977,BOLD,"[-0.55131316 -1.15037924 -0.81646026  0.61643184  1.9291786   1.83646577
  0.48720933 -0.82014167 -1.0861807  -0.44481049]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,57,1.7410406641926413,BOLD,"[-0.55120867 -1.12940356 -0.79526992  0.61923103  1.91047795  1.81098118
  0.47721014 -0.80570176 -1.07177454 -0.46454186]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,58,1.7522356502626293,BOLD,"[-0.5546418  -1.14348087 -0.81377484  0.59878414  1.90409708  1.82192043
  0.48023642 -0.81088774 -1.05475327 -0.42749956]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,59,1.7461078917043047,BOLD,"[-0.50078261 -1.11002649 -0.81572604  0.59021241  1.90337517  1.8245561
  0.4836722  -0.81804022 -1.08416131 -0.47307921]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,60,1.7571326871234747,BOLD,"[-0.52891192 -1.11476492 -0.80301157  0.60198354  1.90643777  1.82442636
  0.48235491 -0.81988813 -1.0827123  -0.46591372]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,61,1.731229239761809,BOLD,"[-0.5437396  -1.12110821 -0.79882507  0.60481901  1.90186021  1.81677258
  0.48232476 -0.81129658 -1.07309253 -0.45771457]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,62,1.6258730288114362,BOLD,"[-0.50884702 -1.09104888 -0.78648513  0.59129206  1.8759639   1.79931823
  0.47885115 -0.80809049 -1.07478307 -0.47617076]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,63,1.7120450890475984,BOLD,"[-0.5287362  -1.10902944 -0.79825672  0.59911512  1.89799876  1.81610541
  0.48716419 -0.80543815 -1.07876355 -0.48015941]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,64,1.711285550429374,BOLD,"[-0.51516495 -1.09708736 -0.78182519  0.61041191  1.89703954  1.81273742
  0.49172441 -0.80317554 -1.10029616 -0.51436408]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,65,1.8211345543550188,BOLD,"[-0.52180451 -1.12240842 -0.81526425  0.596587    1.91162623  1.84417432
  0.52500516 -0.78994251 -1.109699   -0.51827401]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,66,1.8008981040660186,BOLD,"[-0.55595958 -1.133176   -0.80080506  0.60335816  1.90189381  1.83892908
  0.53435068 -0.78047083 -1.10548675 -0.50263352]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,67,1.7219458658515894,BOLD,"[-0.52676621 -1.10068356 -0.79277519  0.58047696  1.87971639  1.83290578
  0.52522014 -0.79470875 -1.10483258 -0.49855299]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,68,1.687350055615836,BOLD,"[-0.50949086 -1.09333556 -0.80762544  0.5597501   1.86548094  1.83215316
  0.53908708 -0.78149214 -1.10325919 -0.50126809]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,69,1.6450658662047555,BOLD,"[-0.52480067 -1.09562353 -0.79736115  0.56471145  1.8581005   1.82052861
  0.53544905 -0.77477515 -1.09353168 -0.49269743]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,70,1.6580297871838627,BOLD,"[-0.52603232 -1.09032974 -0.7888687   0.56805015  1.8598435   1.82329899
  0.52850076 -0.78965631 -1.09983377 -0.48497256]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,71,1.6402114869919233,BOLD,"[-0.5215292  -1.10415378 -0.80296994  0.55712922  1.85159615  1.82365557
  0.53491771 -0.77938382 -1.08462619 -0.47463571]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,72,1.509285604945918,BOLD,"[-0.49318274 -1.07972242 -0.79722744  0.54453998  1.82476487  1.79090758
  0.51292701 -0.78151727 -1.07093802 -0.45055156]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,73,1.5404797089297082,BOLD,"[-0.48081034 -1.06635924 -0.78615296  0.54865756  1.82995473  1.79966369
  0.50984884 -0.79887522 -1.08840091 -0.46752615]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,74,1.5013600105413951,BOLD,"[-0.49269209 -1.06759343 -0.78455522  0.55142041  1.82828965  1.78807941
  0.5004278  -0.79065814 -1.07160186 -0.46111653]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,75,1.3666024642577286,BOLD,"[-0.48149379 -1.0637929  -0.78457525  0.53819458  1.79606632  1.75643518
  0.49625847 -0.76674758 -1.0432224  -0.44712264]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,76,1.3401279624401514,BOLD,"[-0.47773924 -1.05233413 -0.76661978  0.54946762  1.79150189  1.74622863
  0.4949905  -0.76345567 -1.05413906 -0.46790076]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,77,1.3406933176349163,BOLD,"[-0.48384047 -1.06858771 -0.78857577  0.53992009  1.79424088  1.74618587
  0.49473358 -0.75330539 -1.03522558 -0.44554549]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,78,1.32791846904371,BOLD,"[-0.45389339 -1.0473968  -0.77683492  0.53955309  1.78870638  1.74516213
  0.49530428 -0.75886528 -1.0526759  -0.47905958]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,79,1.3686714382263672,BOLD,"[-0.47385373 -1.06277824 -0.78498532  0.54233209  1.79866149  1.75549774
  0.50504816 -0.75259274 -1.05196533 -0.47536411]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,80,1.2813024232922137,BOLD,"[-0.4836301  -1.07435814 -0.78991984  0.53493857  1.77703368  1.73485496
  0.51084695 -0.72151036 -1.02023681 -0.4680189 ]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,81,1.2603300061226264,BOLD,"[-0.47201914 -1.05501427 -0.76341006  0.55453709  1.7782399   1.71961816
  0.4838353  -0.74926632 -1.03285963 -0.46366102]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,82,1.274003046096751,BOLD,"[-0.47926385 -1.07091327 -0.77155962  0.55382298  1.77887416  1.72606985
  0.50006285 -0.73168683 -1.02811701 -0.47728926]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,83,1.3470626331313151,BOLD,"[-0.48947784 -1.07407731 -0.76465247  0.56935387  1.79783301  1.74155946
  0.50852041 -0.73671196 -1.04922197 -0.5031252 ]",v1
sub-05,sub-05_ses-001_task-eventStim_run-001,84,1.3589307017888062,BOLD,"[-0.5344591  -1.09312658 -0.76090805  0.5793722   1.80065675  1.74339558
  0.52197418 -0.71523879 -1.03657572 -0.50509046]",v1
sub-05,sub-05_ses-001_task-eventStim_run-002,1,11.151997071763935,BOLD,"[-2.72849766 -2.05573582 -0.9142228   0.50758295  1.56797176  1.69097164
  1.02752963 -0.00407955 -0.22583329  1.13431315]",v1
sub-05,sub-05_ses-001_task-eventStim_run-002,2,2.2404431101891724,BOLD,"[-1.14248295 -1.32190662 -0.86202698  0.52894911  1.72146177  1.56207556
  0.71564292  0.08654635 -0.3977591  -0.89050006]",v1
sub-05,sub-05_ses-001_task-eventStim_run-002,3,3.2396117832219353,BOLD,"[-0.36752483 -1.26901673 -1.34787472  0.3561798   2.08357135  2.01165382
  0.82022727 -0.37776419 -1.04018355 -0.86926823]",v1
sub-05,sub-05_ses-001_task-eventStim_run-002,4,3.5198310362023397,BOLD,"[-0.70427944 -1.63506016 -1.31964669  0.55091549  2.16022325  1.99273836
  0.58920391 -0.63321617 -0.75163766 -0.24924088]",v1
sub-05,sub-05_ses-001_task-eventStim_run-002,5,2.434398145079143,BOLD,"[-0.09385288 -1.24644908 -1.2532595   0.54590467  2.13271911  1.72409179
  0.20102577 -0.77668025 -0.76615849 -0.46734115]",v1
sub-05,sub-05_ses-001_task-eventStim_run-002,6,3.320142869618105,BOLD,"[-0.15305298 -1.19946656 -1.16183508  0.74596277  2.37606683  1.79858888
  0.07809327 -0.99811918 -0.98718362 -0.49905432]",v1
sub-05,sub-05_ses-001_task-eventStim_run-002,7,3.250788777018226,BOLD,"[-0.30796504 -1.20303316 -0.96582203  0.89871551  2.34882736  1.71882244
 -0.01675209 -1.11553362 -1.017407   -0.33985237]",v1
sub-05,sub-05_ses-001_task-eventStim_run-002,8,3.2731296541556882,BOLD,"[-0.45334885 -1.39080796 -1.1055891   0.75264458  2.26461858  1.79659712
  0.09541896 -1.04340137 -0.8673389  -0.04879305]",v1
sub-05,sub-05_ses-001_task-eventStim_run-002,9,2.5471765272891567,BOLD,"[-0.28719417 -1.28275822 -1.18690723  0.54503532  2.08962158  1.81938124
  0.30715495 -0.89430236 -0.92336505 -0.18666605]",v1
sub-05,sub-05_ses-001_task-eventStim_run-002,10,2.032384537871739,BOLD,"[ 0.02340714 -1.04285582 -1.12359634  0.44334438  1.93218316  1.75154782
  0.36237823 -0.85624349 -1.03840255 -0.45176253]",v1
sub-05,sub-05_ses-001_task-eventStim_run-002,11,2.109421954949214,BOLD,"[ 0.01368667 -1.09746387 -1.24030896  0.25489859  1.83207718  1.82298992
  0.44887276 -0.80969814 -0.92565677 -0.29939739]",v1
sub-05,sub-05_ses-001_task-eventStim_run-002,12,2.171288419999437,BOLD,"[ 0.23378113 -0.88673962 -1.15585283  0.2602579   1.79120935  1.7435296
  0.35560835 -0.94144138 -1.07676308 -0.32358941]",v1
sub-05,sub-05_ses-001_task-eventStim_run-002,13,2.1898632184555056,BOLD,"[ 0.1098183  -1.05684062 -1.33204631  0.14045826  1.75292282  1.77308223
  0.46767554 -0.76153214 -0.90240343 -0.19113464]",v1
sub-05,sub-05_ses-001_task-eventStim_run-002,14,1.9477056359230758,BOLD,"[ 0.23368975 -0.87215296 -1.15735132  0.19515533  1.70733029  1.70173006
  0.37640915 -0.87723842 -1.0229587  -0.28461319]",v1
sub-05,sub-05_ses-001_task-eventStim_run-002,15,2.160021526915091,BOLD,"[ 0.26816822 -0.86870937 -1.14881165  0.18621741  1.72139985  1.76612052
  0.41010881 -0.91339828 -1.08919514 -0.33190037]",v1
sub-05,sub-05_ses-001_task-eventStim_run-002,16,2.1953705212859105,BOLD,"[ 0.30010269 -0.90956634 -1.20946654  0.10603473  1.6635244   1.7879082
  0.48459694 -0.8345628  -1.03212733 -0.35644393]",v1
sub-05,sub-05_ses-001_task-eventStim_run-002,17,2.281950391168093,BOLD,"[ 0.26072056 -0.95444633 -1.26238021  0.0730409   1.66589232  1.83528597
  0.57712053 -0.74943131 -1.02473096 -0.42107147]",v1
sub-05,sub-05_ses-001_task-eventStim_run-002,18,2.215316606535885,BOLD,"[ 0.1667115  -1.01143072 -1.26758039  0.08261249  1.67216931  1.86326205
  0.64943735 -0.66497541 -0.99927371 -0.49093247]",v1
sub-05,sub-05_ses-001_task-eventStim_run-002,19,1.8916162799257175,BOLD,"[ 0.03805783 -1.07675701 -1.2319271   0.14135364  1.66777907  1.81476677
  0.61703688 -0.64975491 -0.93012255 -0.39043262]",v1
sub-05,sub-05_ses-001_task-eventStim_run-002,20,1.8560084175660643,BOLD,"[ 0.06699951 -1.03747576 -1.20536807  0.13376786  1.63907034  1.81211325
  0.66005655 -0.6124118  -0.96086376 -0.49588812]",v1
sub-05,sub-05_ses-001_task-eventStim_run-002,21,1.8040864217139678,BOLD,"[ 0.0188911  -1.07844705 -1.22610281  0.12187884  1.62539634  1.79859758
  0.67114278 -0.57163635 -0.91280908 -0.44691136]",v1
sub-05,sub-05_ses-001_task-eventStim_run-002,22,1.5518320032609307,BOLD,"[ 0.04103054 -1.03531119 -1.20575507  0.07206432  1.52925553  1.71383742
  0.62197234 -0.56465205 -0.8306313  -0.34181055]",v1
sub-05,sub-05_ses-001_task-eventStim_run-002,23,1.4695455883276614,BOLD,"[ 0.06811624 -0.97640545 -1.13975938  0.13959325  1.57561112  1.710944
  0.58672506 -0.60815095 -0.90087665 -0.45579724]",v1
sub-05,sub-05_ses-001_task-eventStim_run-002,24,1.5990234453636458,BOLD,"[-0.01187402 -1.03442522 -1.16132774  0.16004298  1.6259462   1.76943505
  0.64052608 -0.58665628 -0.92193835 -0.47972869]",v1
sub-05,sub-05_ses-001_task-eventStim_run-002,25,1.8227191710855162,BOLD,"[-0.02760454 -1.06181683 -1.16859504  0.17127028  1.66853532  1.84188924
  0.68566854 -0.5999293  -0.97621373 -0.53320394]",v1
sub-05,sub-05_ses-001_task-eventStim_run-002,26,1.9497141815951344,BOLD,"[-0.058997   -1.10575271 -1.19064664  0.17797057  1.69511449  1.87202362
  0.72526436 -0.55101397 -0.96370591 -0.60025681]",v1
sub-05,sub-05_ses-001_task-eventStim_run-002,27,2.013074361113702,BOLD,"[-0.10118763 -1.16938085 -1.26096427  0.14166366  1.69215792  1.86802445
  0.7355411  -0.49224343 -0.87826856 -0.53534238]",v1
sub-05,sub-05_ses-001_task-eventStim_run-002,28,1.7936737385616779,BOLD,"[-0.06137449 -1.08610513 -1.20160735  0.15210723  1.65820211  1.82097808
  0.71392695 -0.48633228 -0.89160265 -0.61819247]",v1
