subject,data,modality,layer,stimType,contrast,focus,runType
sub-09,1.3104999150720336,VASO,11,blockStim,visiotactile,v1,blockStim
sub-09,2.5476828326394774,BOLD,1,blockStimVisOnly,visual,v1,blockStim
sub-09,3.1122284641366766,BOLD,2,blockStimVisOnly,visual,v1,blockStim
sub-09,3.620833465842702,BOLD,3,blockStimVisOnly,visual,v1,blockStim
sub-09,4.282694130629864,BOLD,4,blockStimVisOnly,visual,v1,blockStim
sub-09,5.217306068690959,BOLD,5,blockStimVisOnly,visual,v1,blockStim
sub-09,5.779761848607993,BOLD,6,blockStimVisOnly,visual,v1,blockStim
sub-09,6.801482773998863,BOLD,7,blockStimVisOnly,visual,v1,blockStim
sub-09,7.6319807016849515,BOLD,8,blockStimVisOnly,visual,v1,blockStim
sub-09,8.172861299460584,BOLD,9,blockStimVisOnly,visual,v1,blockStim
sub-09,9.24952262589272,BOLD,10,blockStimVisOnly,visual,v1,blockStim
sub-09,9.138892010334999,BOLD,11,blockStimVisOnly,visual,v1,blockStim
sub-09,0.8963133882011765,VASO,1,blockStimVisOnly,visual,v1,blockStim
sub-09,1.3108512684790459,VASO,2,blockStimVisOnly,visual,v1,blockStim
sub-09,1.54308126577513,VASO,3,blockStimVisOnly,visual,v1,blockStim
sub-09,1.8375893315194913,VASO,4,blockStimVisOnly,visual,v1,blockStim
sub-09,2.2431827778564184,VASO,5,blockStimVisOnly,visual,v1,blockStim
sub-09,2.4773770657105225,VASO,6,blockStimVisOnly,visual,v1,blockStim
sub-09,2.745206566957327,VASO,7,blockStimVisOnly,visual,v1,blockStim
sub-09,2.810723556412591,VASO,8,blockStimVisOnly,visual,v1,blockStim
sub-09,2.67504549594596,VASO,9,blockStimVisOnly,visual,v1,blockStim
sub-09,2.5633752885215144,VASO,10,blockStimVisOnly,visual,v1,blockStim
sub-09,2.166481685494223,VASO,11,blockStimVisOnly,visual,v1,blockStim
sub-09,1.7522467701208024,BOLD,1,blockStimLongTR,visiotactile,s1,blockStim
sub-09,1.5524489644765853,BOLD,2,blockStimLongTR,visiotactile,s1,blockStim
sub-09,1.4816541882930323,BOLD,3,blockStimLongTR,visiotactile,s1,blockStim
sub-09,1.938403985743958,BOLD,4,blockStimLongTR,visiotactile,s1,blockStim
sub-09,2.8865836169265333,BOLD,5,blockStimLongTR,visiotactile,s1,blockStim
sub-09,4.331116609713611,BOLD,6,blockStimLongTR,visiotactile,s1,blockStim
sub-09,5.349928421680541,BOLD,7,blockStimLongTR,visiotactile,s1,blockStim
sub-09,6.153670972407753,BOLD,8,blockStimLongTR,visiotactile,s1,blockStim
sub-09,6.029348288252429,BOLD,9,blockStimLongTR,visiotactile,s1,blockStim
sub-09,5.04394899855535,BOLD,10,blockStimLongTR,visiotactile,s1,blockStim
sub-09,3.9147589843454105,BOLD,11,blockStimLongTR,visiotactile,s1,blockStim
sub-09,0.3919749258396526,VASO,1,blockStimLongTR,visiotactile,s1,blockStim
sub-09,0.32622362184897064,VASO,2,blockStimLongTR,visiotactile,s1,blockStim
sub-09,0.6886608128280689,VASO,3,blockStimLongTR,visiotactile,s1,blockStim
sub-09,1.3477605245822657,VASO,4,blockStimLongTR,visiotactile,s1,blockStim
sub-09,2.2427855532494236,VASO,5,blockStimLongTR,visiotactile,s1,blockStim
sub-09,3.2158805480062522,VASO,6,blockStimLongTR,visiotactile,s1,blockStim
